"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"ISLAY",3.99512348204844,52034,14.0542722066341,25.7487805865987,0.504016604527809,0.495983395472191,0.0472952823999523,0.952704717600048,0.211248285322359,0.788751714677641,"0407","AREQUIPA"
"JAEN",14.3784835446684,185432,1.80982786142629,30.1806250384785,0.505959057767807,0.494040942232193,0.493098578288297,0.506901421711703,0.0864890311646738,0.913510968835326,"0608","CAJAMARCA"
"JAUJA",8.23180580637133,83257,6.96638120518395,29.4967774178162,0.476488463432504,0.523511536567496,0.539896454965814,0.460103545034186,0.083389321424337,0.916610678575663,"1204","JUNIN"
"JORGE BASADRE",3.27297371383747,10773,18.0543952473777,32.7580132822733,0.60484544695071,0.39515455304929,0.597222222222222,0.402777777777778,0.184027777777778,0.815972222222222,"2303","TACNA"
"JULCAN",13.7554650838081,28024,0.317584927205253,26.8579834746758,0.498965172709106,0.501034827290894,0.885853875194315,0.114146124805685,0.0237619364867866,0.976238063513213,"1305","LA LIBERTAD"
"JUNIN",12.0026073885372,23133,23.3735356417239,32.3116046513134,0.478104871828124,0.521895128171876,0.339610218593627,0.660389781406373,0.0520147484856466,0.947985251514353,"1205","JUNIN"
"LA CONVENCION",13.0683085797551,147148,53.1607633131269,31.7226037321961,0.527462146954087,0.472537853045913,0.674229311877251,0.325770688122749,0.0454460401365954,0.954553959863405,"0809","CUSCO"
"LA MAR",18.843458317648,70653,73.9218433753698,31.9668162127802,0.506984841408008,0.493015158591992,0.535000473619399,0.464999526380601,0.0248650184711566,0.975134981528843,"0505","AYACUCHO"
"LA UNION",16.6246006962155,12827,59.6398222499415,29.2176720942918,0.497544242613238,0.502455757386762,0.833598907352606,0.166401092647394,0.0100159344411564,0.989984065558844,"0408","AREQUIPA"
"LAMAS",11.5748789494861,81521,4.6675089854148,37.255228992003,0.507795537346205,0.492204462653795,0.4401051105473,0.5598948894527,0.0603932584269663,0.939606741573034,"2205","SAN MARTIN"
"LAMBAYEQUE",8.55309345086234,300170,1.02708465203052,23.909978841956,0.493370423426725,0.506629576573275,0.463770240554408,0.536229759445592,0.138961817818351,0.861038182181649,"1403","LAMBAYEQUE"
"LAMPA",10.2208486301629,40856,76.5517916585079,29.0310372930855,0.477946935578618,0.522053064421382,0.723511978266239,0.276488021733761,0.0346999259076315,0.965300074092369,"2107","PUNO"
"LAURICOCHA",7.20074579264811,18913,25.5802886903188,38.4066867340547,0.511394279067308,0.488605720932692,0.865951742627346,0.134048257372654,0.012153708668454,0.987846291331546,"1010","HUANUCO"
"LEONCIO PRADO",12.2451339374288,127793,14.8732716189463,38.7052821322561,0.502703590963511,0.497296409036489,0.337744242355988,0.662255757644011,0.169238132777746,0.830761867222254,"1006","HUANUCO"
"LIMA",1.20452116703551,8574974,8.66252189219466,9.9762201293736,0.486131269902393,0.513868730097607,0.000907410947556235,0.999092589052444,0.497591707555386,0.502408292444614,"1501","LIMA"
